	Dampener final
2022-03-31	0.014035240413596911
2021-12-31	0.06879633850904837
2021-09-30	0.053090050757430514
2021-06-30	0.056588835969938155
2021-03-31	0.03599449455759058
2020-12-31	-0.004790601736715298
2020-09-30	-0.06434558511616242
2020-06-30	-0.06724753336278622
2020-03-31	-0.1
2019-12-31	-0.0007594467305947483
2019-09-30	-0.019670477245716425
2019-06-30	-0.017152716841233238
2019-03-31	-0.02196905816845414
2018-12-31	-0.06336783367700542
2018-09-30	0.0013826060556732106
2018-06-30	-0.0011110087361843046
2018-03-31	-0.008841976745648704
2017-12-31	0.01900736199495128
2017-09-30	0.023961890662686357
2017-06-30	0.008981352073890198
2017-03-31	0.013636183985354114
2016-12-31	-0.014372759017022025
2016-09-30	-0.04894207109196936
2016-06-30	-0.07159824813325154
2016-03-31	-0.051629922065968066
