durationStartYear	DURATION_END_YEAR	ECAI	fupItem	value	COUNTERPARTY_RISK_TYPE_CODE	TYPE_OF_BOND
15	20	0	Absolute	0.095	CR3	Government Bonds
20	9999	0	Absolute	0.12	CR3	Government Bonds
0	5	0	D_Relative	0.009	CR3	Government Bonds
5	10	0	D_Relative	0.005	CR3	Government Bonds
10	15	0	D_Relative	0.005	CR3	Government Bonds
15	20	0	D_Relative	0.005	CR3	Government Bonds
20	9999	0	D_Relative	0.005	CR3	Government Bonds
0	5	0	D_Subtract	0	CR3	Government Bonds
5	10	0	D_Subtract	5	CR3	Government Bonds
10	15	0	D_Subtract	10	CR3	Government Bonds
15	20	0	D_Subtract	15	CR3	Government Bonds
20	9999	0	D_Subtract	20	CR3	Government Bonds
0	5	1	Absolute	0	CR3	Government Bonds
5	10	1	Absolute	0.055	CR3	Government Bonds
10	15	1	Absolute	0.084	CR3	Government Bonds
15	20	1	Absolute	0.109	CR3	Government Bonds
20	9999	1	Absolute	0.134	CR3	Government Bonds
0	5	1	D_Relative	0.011	CR3	Government Bonds
5	10	1	D_Relative	0.006	CR3	Government Bonds
10	15	1	D_Relative	0.005	CR3	Government Bonds
15	20	1	D_Relative	0.005	CR3	Government Bonds
20	9999	1	D_Relative	0.005	CR3	Government Bonds
0	5	1	D_Subtract	0	CR3	Government Bonds
5	10	1	D_Subtract	5	CR3	Government Bonds
10	15	1	D_Subtract	10	CR3	Government Bonds
15	20	1	D_Subtract	15	CR3	Government Bonds
20	9999	1	D_Subtract	20	CR3	Government Bonds
0	5	2	Absolute	0	CR3	Government Bonds
5	10	2	Absolute	0.07	CR3	Government Bonds
10	15	2	Absolute	0.105	CR3	Government Bonds
15	20	2	Absolute	0.13	CR3	Government Bonds
20	9999	2	Absolute	0.155	CR3	Government Bonds
0	5	2	D_Relative	0.014	CR3	Government Bonds
5	10	2	D_Relative	0.007	CR3	Government Bonds
10	15	2	D_Relative	0.005	CR3	Government Bonds
15	20	2	D_Relative	0.005	CR3	Government Bonds
20	9999	2	D_Relative	0.005	CR3	Government Bonds
0	5	2	D_Subtract	0	CR3	Government Bonds
5	10	2	D_Subtract	5	CR3	Government Bonds
10	15	2	D_Subtract	10	CR3	Government Bonds
15	20	2	D_Subtract	15	CR3	Government Bonds
20	9999	2	D_Subtract	20	CR3	Government Bonds
0	5	3	Absolute	0	CR3	Government Bonds
5	10	3	Absolute	0.125	CR3	Government Bonds
10	15	3	Absolute	0.2	CR3	Government Bonds
15	20	3	Absolute	0.25	CR3	Government Bonds
20	9999	3	Absolute	0.3	CR3	Government Bonds
