Balloon ID	Bus ID	Amount Requested	Amount Decided	Currency	AttradiusReshare	LOB	Answer Date	Request Date	Expiry Date	Comments
00794B1 01	85098654	575000	575000	EUR	24.0	B	07/10/2022	06/10/2022	04/11/2023	-
36180B1 01	75312393	80000000	80000000	EUR	17.5	B	07/10/2022	06/10/2022	30/09/2023	-
03583C1 02	15644827	1151282	1151282	EUR	39.0	C	07/10/2022	06/10/2022	30/09/2023	-
36128B1 01	23335588	2000000000	2000000000	ZAR	14.9	B	07/10/2022	05/10/2022	30/09/2025	-
08296C1 01	16371541	70000000	70000000	EUR	9.0	C	07/10/2022	05/10/2022	30/09/2023	-
35507C1 01	5876086	160000000	160000000	MUR	24.5	C	07/10/2022	05/10/2022	31/07/2023	-
03079C1 72	13965278	200000000	200000000	PLN	3.6	C	13/10/2022	18/08/2022	30/08/2023	-
36031C1 01	10411128	7200000	7200000	USD	45.0	C	14/10/2022	13/10/2022	29/09/2023	-
02065C1 01	11333210	685002849	685002849	DZD	17.55	C	14/10/2022	13/10/2022	26/09/2023	-
02126C1 01	15581224	89855000	89855000	USD	40.0	C	14/10/2022	13/10/2022	30/09/2023	-
08992C1 04	15875969	2499999	2499999	EUR	28.0	C	14/10/2022	13/10/2022	30/09/2023	-
08992C1 04	16957520	2999999	2999999	EUR	28.0	C	14/10/2022	13/10/2022	31/07/2023	-
02126C1 01	20930547	70000000	70000000	USD	40.0	C	14/10/2022	13/10/2022	30/09/2023	-
02065C1 01	9726948	237891737	237891737	DZD	17.55	C	14/10/2022	13/10/2022	04/10/2023	-
08992C1 04	23740526	3499999	3499999	EUR	28.0	C	28/10/2022	13/10/2022	30/09/2023	-
04566B1 01	15457831	50000000	50000000	PLN	35.0	B	11/11/2022	07/11/2022	11/10/2023	-
36180C1 01	2271369	35947416	35947416	PLN	11.03	C	11/11/2022	07/11/2022	31/08/2023	-
04252C1 71	2271369	35940803	35940803	PLN	4.73	C	11/11/2022	07/11/2022	31/08/2023	-
36122B1 01	23253086	2841200000	2841200000	MXN	3.0	B	11/11/2022	07/11/2022	15/11/2024	-
36180B1 02	23565378	2505827	2505827	EUR	8.58	B	11/11/2022	07/11/2022	30/10/2023	-
03583C1 02	25452	800000	800000	EUR	39.0	C	11/11/2022	07/11/2022	31/08/2023	-
02065C1 01	2732986	274940170	274940170	DZD	17.55	C	11/11/2022	07/11/2022	05/10/2023	-
03159C1 03	3848123	125005834	125005834	USD	8.57	C	11/11/2022	07/11/2022	06/10/2023	-
