BusID	Parent	Country
7019365	PETROBRAS ARGENTINA SA	ARG
4127764	COMPAGNIE GENERALE DES	FRA
4736866	AB VOLVO	SWE
2289180	GOODYEAR TIRE & RUBBER COMPANY,	USA
21523820	TPV TECHNOLOGY CO LTD	CHN
548847	AGCO CORPORATION	USA
1705487	ZF FRIEDRICHSHAFEN AG	DEU
714574	INDRA SISTEMAS SA	ESP
403346	LATAM AIRLINES GROUP S.A.	CHL
4749993	NESTLÉ S.A.	CHE
17780158	CITRICOLA SALTEÑA SA	URY
10630615	TENNECO INC.	USA
22827633	SSCP THERMAL NEWCO	FRA
4010465	VALE S/A	BRA
9354589	GREIF, INC.	USA
11459397	RENAULT	FRA
1906072	INTERNATIONAL BUSINESS MACHINES	USA
14263693	PHILIP MORRIS INTERNATIONAL INC.	USA
4876874	CHARGEURS	FRA
17830275	GRUPO COPPEL, S.A. DE C.V.	MEX
32404657	CATALENT, INC.	USA
99816711	NUEVA PESCANOVA SL	ESP
10513013	ALMACENES EXITO S.A.	COL
38839876	NATUS MEDICAL INCORPORATED	USA
3998332	DISTRIBUIDORA INTERNACIONAL DE	ESP
4843941	ORACLE CORPORATION	USA
364868	METAGAL INDUSTRIA E COMERCIO LTDA	BRA
9006776	TD SYNNEX CORPORATION	USA
3966980	FESTO SE & CO. KG	DEU
16385968	REHAU VERWALTUNGSZENTRALE AG	CHE
4770929	RICOH COMPANY LTD	JPN
1034398	SHERWIN-WILLIAMS COMPANY, THE	USA
23884089	PE BERING HOLDING S.À R.L.	LUX
5856589	ITT INC.	USA
79089400	SILVATEAM S.P.A.	ITA
22347682	GETRONICS GROUP B.V.	NLD
4233565	XEROX HOLDINGS CORPORATION	USA
88011318	ENERGIZER HOLDINGS, INC.	USA
11513111	EINHELL GERMANY AG	DEU
7303185	LEDESMA SAAI T/A LEDESMA	ARG
11468841	ANDRADE GUTIERREZ S/A	BRA
549092	INDUSTRIAL DEVELOPMENT CORPORATION	ZAF
23746567	STARK GROUP A/S	DNK
21106840	INVESTAR OÜ	EST
10426317	JELD-WEN, INC.	USA
22424208	AMPK HOLDING OÜ	EST
13222300	DOLD HOLDING GMBH	DEU
23111332	ERMI GROUP UAB	LTU
22149046	ROWLINSON CONSOLIDATED LTD	GBR
19714794	JTK POWER OY	FIN
10740457	TNC-NORDIC OY	FIN
11913622	ADIBOIS	FRA
17438110	MERKO EHITUS AS	EST
22686767	MAPRI OÜ	EST
18125254	FORTACO GROUP OY	FIN
4200819	HKSCAN OYJ	FIN
19284986	HANZA AB	SWE
1923353	OY TRANSMERI GROUP AB	FIN
771827	YIT OYJ	FIN
18614772	SAUE EPT AS	EST
17515227	MAXIMA GRUPE UAB	LTU
11491192	MARU AS	EST
23134682	TB GRUPP OÜ	EST
8786983	ICA GRUPPEN AB	SWE
2039589	TALLINNA KAUBAMAJA GRUPP AS	EST
8704341	CARL BENNET AB	SWE
9751946	VILJANDI METALL AS	EST
4346105	SAKU METALL AS	EST
17186754	HAUSERS GRUPP OÜ	EST
4333746	ASEAN INTERESTS LTD	HKG
4712954	METSÄLIITTO OSUUSKUNTA	FIN
23813861	MOONI INVEST OÜ	EST
1033708	DAETWYLER GLOBAL TEC HOLDING AG	CHE
23394619	APPELTERN BIDCO B.V.	NLD
21501035	KAAMOS GROUP OÜ	EST
16827136	NORDIC HOUSES OÜ	EST
75162823	PROFEXPERT OU	EST
16518481	LOXAM	FRA
23883339	LEVSTAL GROUP OÜ	EST
89938596	FLEXA4DREAMS A/S	DNK
86032401	TIMBECO GROUP OÜ	EST
2098481	GENERAL DYNAMICS CORPORATION	USA
18677195	EXMET OÜ	EST
20840573	OMA GRUPP OÜ	EST
16250670	COMBIWOOD OÜ	EST
24094700	GRATO HOLDING OÜ	EST
9016179	ONOFF EESTI OÜ	EST
3844136	KESKO OYJ	FIN
24184660	GLX HOLDING AS	NOR
8861521	POMONA-GRUPPEN AB	SWE
19738935	RAND & TUULBERG GRUPP AS	EST
22041361	NASON DAVIS HOLDINGS LIMITED	GBR
16826361	ARCA NOVA OÜ	EST
20069780	HALVER PUIT OU	EST
4130727	ATRIA OYJ	FIN
16973249	KODUMAJA AS	EST
13901161	NOVAMONT S.P.A.	ITA
3844139	SUOMEN OSUUSKAUPPOJEN KESKUSKUNTA	FIN
20795146	MALMERK AS	EST
9822682	MAAG GRUPP AS	EST
24047232	BCP V MODULAR SERVICES HOLDINGS	GBR
10245002	NORDECON AS	EST
18012368	MONIK OÜ	EST
4019135	AB NÄRPES TRÄ & METALL - OY	FIN
21644123	NEFAB HOLDING AB	SWE
16318626	MULTIMEK OY	FIN
15666331	R-GROUP FINLAND OY	FIN
10203347	VILJANDI AKEN JA UKS AS	EST
20347173	HOLDING NACHARD	FRA
19135225	CHINA COMMUNICATIONS CONSTRUCTION	CHN
18315330	SIGDO KOPPERS S.A.	CHL
18942760	GRUPO INDI, S.A. DE C.V.	MEX
4311421	VINCI	FRA
22698527	CARRE DOR	CIV
22552566	VITOL HOLDING II S.A.	LUX
10080816	TADIRAN GROUP LTD	ISR
11367310	REMONTOWA HOLDING S A	POL
4763401	FOMENTO DE CONSTRUCCIONES Y	ESP
23859311	SYLVAMO CORPORATION	USA
2582366	CEMEX, S.A.B. DE C.V.	MEX
17520109	MEGACABLE HOLDINGS, S.A.B. DE C.V.	MEX
4292601	ANHEUSER-BUSCH INBEV SA	BEL
847945	OBRASCON HUARTE LAIN SA	ESP
4113098	CONSTRUCCIONES Y AUXILIAR DE	ESP
1429418	TELECOM ITALIA SPA O TIM S.P.A.	ITA
20613458	GRUPO DIAVAZ, S. DE R.L. DE C.V.	MEX
7157251	GRUPO CARSO, S.A.B. DE C.V.	MEX
23699453	AUXLY CANNABIS GROUP INC.	CAN
1813878	LG ELECTRONICS INC	KOR
10058788	NABORS INDUSTRIES LTD	USA
3867329	ENEL - SPA	ITA
287357	CASINO GUICHARD-PERRACHON	FRA
4770773	CARREFOUR	FRA
21616253	INMOBILIARIA RUBA, S.A. DE C.V.	MEX
10981	DIAGEO PLC	GBR
303371	BP P.L.C.	GBR
21747761	GRUPO ANDRADE	MEX
14076036	MOVER PARTICIPACOES S/A	BRA
23846558	ICA TENEDORA, S.A. DE C.V.	MEX
16288744	SUZANO HOLDING S/A	BRA
4093546	GENERAL ELECTRIC COMPANY	USA
65945436	WEATHERFORD INTERNATIONAL LTD.	CHE
20691574	AEROPORTOS BRASIL S/A	BRA
65067421	META PLATFORMS, INC.	USA
16772996	COPACHISA, S.A. DE C.V.	MEX
1332819	BANCO SANTANDER SA	ESP
18120781	LIGHT S/A	BRA
20904943	RUMO S/A	BRA
4304806	GRUPO TELEVISA, S.A.B.	MEX
3890827	FONTERRA CO-OPERATIVE GROUP	NZL
9991684	GRUPO MÉXICO, S.A.B. DE C.V.	MEX
23406124	SIEMENS ENERGY AG	DEU
17391364	GRUPO R	MEX
11561068	PETROFAC LIMITED	JEY
23888667	SUEZ HOLDING	FRA
14559939	PRO FLUIDOS, S.A. DE C.V.	MEX
18331153	QUEIROZ GALVAO S/A	BRA
171018	MILLICOM INTERNATIONAL CELLULAR	LUX
24018468	WERTHEIN INVESTMENT MANAGEMENT	ARG
16218838	CHINA RAILWAY CONSTRUCTION	CHN
21723924	SHV HOLDINGS N.V.	BES
4259098	URBI DESARROLLOS URBANOS, S.A.B.	MEX
363541	COCA-COLA FEMSA, S.A.B. DE C.V.	MEX
507907	RAIZEN S/A	BRA
595889	SAP SE	DEU
10542718	JBS S/A	BRA
21998255	GRUPO TENSA	MEX
20909257	GRUPO PRODUCTOR INFRA, S.A. DE	MEX
20221768	VLI S/A	BRA
1614989	ELI LILLY AND COMPANY	USA
20740965	CONTROLADORA VUELA COMPAÑÍA DE	MEX
14289802	MUNDYS SPA	ITA
4004559	NOVARTIS AG	CHE
18160224	MERCANTIL COLPATRIA S.A.	COL
15542447	STATE GRID CORPORATION OF CHINA	CHN
10420413	FREEPORT-MCMORAN INC.	USA
16858672	GRUPO VISE, S.A. DE C.V.	MEX
21236213	C S PARTICIPACOES E	BRA
21244558	TCP PARTICIPACOES S/A	BRA
4780862	MAXINGVEST AG	DEU
14326295	CONSTRUCTORA RAMHER, S.A. DE C.V.	MEX
23873399	LORENTZEN EMPREENDIMENTOS S/A	BRA
18210973	GRUPO DE MODA SOMA S/A	BRA
9801058	EMPRESAS PUBLICAS DE MEDELLIN	COL
4301460	WEG S/A	BRA
19363613	SERVICIOS CORPORATIVOS JAVER,	MEX
3364583	HEINEKEN N.V.	NLD
7062683	ASTARIS S.P.A.	ITA
1964695	CUMMINS INC.	USA
21751925	GRUPA NDI S A	POL
13858481	POJAZDY SZYNOWE PESA BYDGOSZCZ S A	POL
96689117	BAUDZIEDZIC SP Z O O	POL
35270142	SB COMPLEX SP Z O O	POL
21859430	CONSOIL GEOTECHNIK SARL	LUX
74858212	MATERIALY BUDOWLANE DOMBUD S C	POL
9907313	TAMEX S A	POL
36799458	KRAKOWSKI HOLDING KOMUNALNY S A W	POL
49519478	ELMIKO SP Z O O	POL
67174531	CLIMATIC SP Z O O	POL
2257350	IBERDROLA SA	ESP
4229042	DELL TECHNOLOGIES INC.	USA
24286546	SANTO ANTONIO DO BONSUCESSO	BRA
20639399	PLAENGE PARTICIPACOES S/A	BRA
11377639	SANOFI	FRA
4277273	FRAPORT AG FRANKFURT AIRPORT	DEU
3879509	BHP GROUP LIMITED	AUS
12753894	PYXUS INTERNATIONAL, INC.	USA
21796313	KRAFT HEINZ COMPANY, THE	USA
4099704	HENKEL AG & CO. KGAA	DEU
9753101	ANGLO AMERICAN PLC	GBR
23399101	VILA BRASIL ENGENHARIA E	BRA
23023946	TELIPAR ADMINISTRACAO E	BRA
24004423	AAMR EMPREENDIMENTOS IMOBILIARIOS	BRA
18929398	SOCIEDAD INVERSORA LINEAS DE	ESP
20906124	BTG PACTUAL HOLDING S/A	BRA
21912153	SOLVI ENVIRONNEMENT S A S	BRA
14256999	KLABIN IRMAOS S/A	BRA
14687193	AURELIA S.R.L.	ITA
16354564	SHELL PLC	GBR
3856885	BASF SE	DEU
23278022	NATURA CO HOLDING S/A	BRA
23783498	UBS GROUP AG	CHE
21647494	SECRETARIA DA FAZENDA E	BRA
572838	ENGIE	FRA
20873356	CAMBESA INVESTIMENTOS E	BRA
2665935	TECNICAS REUNIDAS SA	ESP
18897539	APERAM	LUX
796492	CHINA PETROCHEMICAL CORPORATION	CHN
14891094	GOVERNMENT OF COLOMBIA	COL
22727195	BRASIL SOLAR FUNDO DE INVESTIMENTO	BRA
10503284	MONDELEZ INTERNATIONAL, INC.	USA
20774327	SANTO AVITO PARTICIPACOES S/A	BRA
23345994	HORIZON INVESTMENT HOLDINGS SARL	LUX
16847687	RECKITT BENCKISER GROUP PLC	GBR
11597012	UNITEDHEALTH GROUP INCORPORATED	USA
23941397	CLPAR ADMINISTRACAO E	BRA
15271145	CONSTRUCTORA Y EDIFICADORA GIA+A,	MEX
22238473	PEER HOLDING I B.V.	NLD
289815	TET SIA	LVA
4878712	JOHN COCKERILL SA	BEL
16602521	OTB S.P.A.	ITA
14277948	FARMACEVTSKA HEMISKA KOZMETICHKA	MKD
21177263	PT. SMARTFREN TELECOM TBK	IDN
22587122	CHINA HONGQIAO GROUP LIMITED	HKG
17500926	GOERTEK INC	CHN
18585214	BEIJING JIANLONG HEAVY INDUSTRY	CHN
17756944	ORDU YARDIMLASMA KURUMU	TUR
18943441	UNITED ENERGY GROUP LIMITED	HKG
23447883	MAXEON SOLAR TECHNOLOGIES, LTD.	SGP
23444142	CORPORACIÓN RBS, S.A. DE C.V.	MEX
19841383	JINKOSOLAR HOLDING CO LTD	CYM
18457505	CHINA JUSHI CO LTD	CHN
23190713	BILLION INDUSTRIAL HOLDINGS	HKG
15357709	SHANDONG SUN PAPER CO.,LTD.	CHN
10027156	HISENSE HOME APPLIANCES GROUP	CHN
43425891	RISEN ENERGY CO LTD	CHN
21776067	JIANGSU HENGTONG PHOTOELECTRIC	CHN
15665538	TCL TECHNOLOGY GROUP CORPORATION	CHN
22496469	CHINA TIANYING INC	CHN
16467937	ZHEJIANG DAHUA TECHNOLOGY CO LTD	CHN
16947838	JIANGSU ZHONGTIAN TECHNOLOGY CO LTD	CHN
1314073	ORANGE	FRA
22825380	SCORPIO TANKERS INC.	MHL
16354690	HISENSE VISUAL TECHNOLOGY CO LTD	CHN
15631280	TONGWEI CO LTD	CHN
5845011	MAWARID HOLDINGS COMPANY	SAU
708970	ELECNOR SA	ESP
55791559	IDE TECHNOLOGIES GROUP LTD	ISR
22583656	KETER GROUP HOLDING SARL	LUX
4027232	GROUPE ADEO	FRA
2407387	PAZ OIL CO LTD	ISR
6903451	COSTCO WHOLESALE CORPORATION	USA
1374529	KIMBERLY-CLARK CORPORATION	USA
19495086	BRIGHT FOOD (GROUP) CO LTD	CHN
16101853	CHINA MERCHANTS GROUP LIMITED	CHN
3856943	STRAUSS HOLDINGS LTD	ISR
20930525	ELEZRA HOLDINGS LTD	ISR
4179838	DEUTSCHE POST AG	DEU
