Balloon ID	Bus ID	Current Exposure	Currency	Last Updated	LOB
08890C1 04	16228645	3189000000	JPY	26/05/2022	C
08890C1 04	4295031	3052000000	JPY	26/05/2022	C
08890C1 04	9863384	3016000000	JPY	26/05/2022	C
08890C1 04	805876	2922000000	JPY	26/05/2022	C
08890C1 04	4228650	2858000000	JPY	26/05/2022	C
08890C1 04	11507313	2832000000	JPY	26/05/2022	C
08890C1 04	16613740	2866000000	JPY	26/05/2022	C
08890C1 04	18686250	2880000000	JPY	26/05/2022	C
08890C1 04	1151723	2607000000	JPY	26/05/2022	C
08890C1 04	4259351	2602000000	JPY	26/05/2022	C
08890C1 04	11507246	2662000000	JPY	26/05/2022	C
08890C1 04	15731955	2800000000	JPY	26/05/2022	C
08890C1 04	826921	2536000000	JPY	26/05/2022	C
08890C1 04	1160172	2451000000	JPY	26/05/2022	C
08890C1 04	3898688	2461000000	JPY	26/05/2022	C
08890C1 04	18896562	2441000000	JPY	26/05/2022	C
08890C1 04	20052806	2439000000	JPY	26/05/2022	C
08890C1 04	17160175	2338000000	JPY	26/05/2022	C
08890C1 04	11282919	2270000000	JPY	26/05/2022	C
08890C1 04	11507229	2244000000	JPY	26/05/2022	C
08890C1 04	13669199	2206000000	JPY	26/05/2022	C
08890C1 04	13856987	2192000000	JPY	26/05/2022	C
08890C1 04	16454363	2255000000	JPY	26/05/2022	C
08890C1 04	16745229	2198000000	JPY	26/05/2022	C
08890C1 04	16802804	2215000000	JPY	26/05/2022	C
08890C1 04	19531114	2199000000	JPY	26/05/2022	C
08890C1 04	1967974	2137000000	JPY	26/05/2022	C
08890C1 04	11674830	2099000000	JPY	26/05/2022	C
08890C1 04	20869411	2140000000	JPY	26/05/2022	C
08890C1 04	23698671	2136000000	JPY	26/05/2022	C
08890C1 04	837133	2047000000	JPY	26/05/2022	C
08890C1 04	13955139	2015000000	JPY	26/05/2022	C
08890C1 04	13955521	2007000000	JPY	26/05/2022	C
08890C1 04	13956516	1957000000	JPY	26/05/2022	C
08890C1 04	66183879	2083000000	JPY	26/05/2022	C
08890C1 04	1565314	1895000000	JPY	26/05/2022	C
08890C1 04	96224819	1928000000	JPY	26/05/2022	C
08890C1 04	3892771	1875000000	JPY	26/05/2022	C
08890C1 04	11174487	1861000000	JPY	26/05/2022	C
08890C1 04	17842771	1857000000	JPY	26/05/2022	C
08890C1 04	1682056	1837000000	JPY	26/05/2022	C
08890C1 04	2296635	1792000000	JPY	26/05/2022	C
08890C1 04	4339676	1786000000	JPY	26/05/2022	C
08890C1 04	4777779	1814000000	JPY	26/05/2022	C
08890C1 04	5908066	1787000000	JPY	26/05/2022	C
08890C1 04	11219324	1784000000	JPY	26/05/2022	C
08890C1 04	4801469	1709000000	JPY	26/05/2022	C
08890C1 04	11679890	1760000000	JPY	26/05/2022	C
08890C1 04	972070	1676000000	JPY	26/05/2022	C
08890C1 04	1342932	1687000000	JPY	26/05/2022	C
08890C1 04	11201617	1673000000	JPY	26/05/2022	C
08890C1 04	20415333	1706000000	JPY	26/05/2022	C
08890C1 04	4281824	1641000000	JPY	26/05/2022	C
08890C1 04	4320262	1649000000	JPY	26/05/2022	C
08890C1 04	1326145	1600000000	JPY	26/05/2022	C
08890C1 04	4114654	1549000000	JPY	26/05/2022	C
08890C1 04	13823112	1545000000	JPY	26/05/2022	C
08890C1 04	15737685	1600000000	JPY	26/05/2022	C
08890C1 04	18413048	1573000000	JPY	26/05/2022	C
08890C1 04	19167941	1577000000	JPY	26/05/2022	C
08890C1 04	23837943	1566000000	JPY	26/05/2022	C
08890C1 04	2037650	1541000000	JPY	26/05/2022	C
08890C1 04	14833605	1536000000	JPY	26/05/2022	C
08890C1 04	15852413	1534000000	JPY	26/05/2022	C
08890C1 04	15758675	1520000000	JPY	26/05/2022	C
08890C1 04	91195055	1527000000	JPY	26/05/2022	C
08890C1 04	496034	1496000000	JPY	26/05/2022	C
08890C1 04	3917009	1505000000	JPY	26/05/2022	C
08890C1 04	4340164	1496000000	JPY	26/05/2022	C
08890C1 04	11202706	1512000000	JPY	26/05/2022	C
08890C1 04	2438630	1472000000	JPY	26/05/2022	C
08890C1 04	15749110	1454000000	JPY	26/05/2022	C
08890C1 04	22493844	1442000000	JPY	26/05/2022	C
08890C1 04	3848368	1424000000	JPY	26/05/2022	C
08890C1 04	9054158	1389000000	JPY	26/05/2022	C
08890C1 04	13956190	1408000000	JPY	26/05/2022	C
08890C1 04	18633714	1391000000	JPY	26/05/2022	C
08890C1 04	4181236	1351000000	JPY	26/05/2022	C
08890C1 04	7222713	1339000000	JPY	26/05/2022	C
08890C1 04	13956260	1327000000	JPY	26/05/2022	C
08890C1 04	16656071	1350000000	JPY	26/05/2022	C
08890C1 04	17160260	1311000000	JPY	26/05/2022	C
08890C1 04	10456454	1242000000	JPY	26/05/2022	C
08890C1 04	16506113	1242000000	JPY	26/05/2022	C
08890C1 04	17302816	1242000000	JPY	26/05/2022	C
08890C1 04	18847273	1267000000	JPY	26/05/2022	C
08890C1 04	21257096	1266000000	JPY	26/05/2022	C
08890C1 04	22797919	1255000000	JPY	26/05/2022	C
08890C1 04	22987596	1253000000	JPY	26/05/2022	C
08890C1 04	89590982	1261000000	JPY	26/05/2022	C
08890C1 04	11600999	1237000000	JPY	26/05/2022	C
08890C1 04	21257095	1220000000	JPY	26/05/2022	C
08890C1 04	2493593	1150000000	JPY	26/05/2022	C
08890C1 04	11507281	1138000000	JPY	26/05/2022	C
08890C1 04	18823639	1136000000	JPY	26/05/2022	C
08890C1 04	4178270	1123000000	JPY	26/05/2022	C
08890C1 04	13824108	1126000000	JPY	26/05/2022	C
08890C1 04	661715	1112000000	JPY	26/05/2022	C
08890C1 04	9066104	1103000000	JPY	26/05/2022	C
08890C1 04	15874405	1101000000	JPY	26/05/2022	C
08890C1 04	21333163	1087000000	JPY	26/05/2022	C
08890C1 04	16790387	1064000000	JPY	26/05/2022	C
08890C1 04	17420763	1056000000	JPY	26/05/2022	C
08890C1 04	17992677	1061000000	JPY	26/05/2022	C
08890C1 04	2458253	1054000000	JPY	26/05/2022	C
08890C1 04	1599225	1033000000	JPY	26/05/2022	C
08890C1 04	16694700	1033000000	JPY	26/05/2022	C
08890C1 04	16993624	1048000000	JPY	26/05/2022	C
08890C1 04	169065	1018000000	JPY	26/05/2022	C
08890C1 04	4331695	1013000000	JPY	26/05/2022	C
08890C1 04	11394102	1017000000	JPY	26/05/2022	C
36117C1 01	77878262	4793838596	PKR	22/06/2022	C
36117C1 01	10523058	1525312280	PKR	22/06/2022	C
36117C1 01	21973937	1525312280	PKR	22/06/2022	C
36117C1 01	852669	1089508771	PKR	22/06/2022	C
36117C1 01	4736904	1089508771	PKR	22/06/2022	C
36117C1 01	14804827	1089508771	PKR	22/06/2022	C
